City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
26,invercargill,-46.4,168.35,282.54,67,69,8.5,NZ,1702329611
27,odda,60.0691,6.5457,275.25,86,22,2.82,NO,1702329612
28,padang,-0.9492,100.3543,300.18,89,98,1.08,ID,1702329612
29,port-aux-francais,-49.35,70.2167,278.81,97,98,9.47,TF,1702329612
30,lebu,-37.6167,-73.65,288.69,70,100,3.54,CL,1702329612
31,kanker,20.2719,81.4931,288.74,82,6,1.52,IN,1702329613
32,flying fish cove,-10.4217,105.6791,296.97,88,40,2.57,CX,1702329613
33,cambria,35.5641,-121.0808,295.49,41,53,2.44,US,1702329613
34,albany,42.6001,-73.9662,276.13,74,11,4.92,US,1702329407
35,lata,40.1629,-8.3327,290.27,90,100,2.08,PT,1702329614
36,karachi,24.9056,67.0822,290.05,82,57,2.57,PK,1702329614
37,vila franca do campo,37.7167,-25.4333,287.38,82,100,2.44,PT,1702329615
38,santa ana,33.7456,-117.8678,299.74,38,40,2.57,US,1702329576
39,arno,60.1167,18.6333,271.36,85,100,5.48,SE,1702329615
40,richards bay,-28.783,32.0377,292.95,95,98,2.61,ZA,1702329615
41,constantia,44.1833,28.65,276.53,81,15,3.82,RO,1702329616
42,letpandan,17.7833,95.75,295.69,89,2,2.44,MM,1702329616
43,tiksi,71.6872,128.8694,250.76,100,100,4.1,RU,1702329616
44,mpika,-11.8343,31.4529,291.22,89,80,0.32,ZM,1702329617
45,island harbour,50.724,-1.2758,285.33,93,10,1.34,GB,1702329617
46,champerico,14.3,-91.9167,302.87,65,3,2.73,GT,1702329618
47,hasaki,35.7333,140.8333,284.42,92,100,6.48,JP,1702329618
48,callao,-12.0667,-77.15,295.31,68,75,6.17,PE,1702329584
49,ibiza,38.9088,1.433,289.71,88,0,3.6,ES,1702329618
50,putian,25.4394,119.0103,292.15,89,87,3.08,CN,1702329545
51,pimentel,-6.8367,-79.9342,298.31,61,40,8.75,PE,1702329619
52,grytviken,-54.2811,-36.5092,276.31,75,39,5.78,GS,1702329619
53,ulanhot,46.0833,122.0833,252.64,85,14,0.91,CN,1702329620
